feature,global_variance,zero_variance_train_folds
wavelet_energy_narrow_mean,50406.92853673871,0
wavelet_energy_narrow_std,344028.9965107371,0
wavelet_energy_narrow_max,41641684.56580423,0
wavelet_energy_narrow_min,0.2772069418719835,0
wavelet_energy_broad_mean,30170.235109984827,0
wavelet_energy_broad_std,1117124.78677322,0
wavelet_energy_broad_max,399091043.26392794,0
wavelet_energy_broad_min,110.46794452481952,0
burst_rate_narrow_mean,2580.1436459513793,0
burst_rate_narrow_std,397.1708604713237,0
burst_rate_narrow_max,5203.761755485893,0
burst_rate_narrow_min,0.0,16
burst_rate_broad_mean,2855.439405282138,0
burst_rate_broad_std,896.575816570545,0
burst_rate_broad_max,15090.260512377006,0
burst_rate_broad_min,0.0,16
ec_mean,2.750089184112309e-07,0
ec_std,8.004898764524489e-21,16
ec_max,2.7500893446621225e-07,0
ec_min,2.7500893446621225e-07,0
bid_mean,0.1385381144897279,0
bid_std,8.846644936206694e-15,16
bid_max,0.13853810987962253,0
bid_min,0.13853810987962253,0
st_mean,2.1569313877312246e-06,0
st_std,5.327948959578753e-18,16
st_max,2.1569302413874786e-06,0
st_min,2.1569302413874786e-06,0
env_kurtosis_x_mean,3.55467011788721,0
env_kurtosis_x_std,83.99591741848755,0
env_kurtosis_x_max,5614.467728397017,0
env_kurtosis_x_min,0.03195325663093892,0
env_kurtosis_y_mean,4.793901160546298,0
env_kurtosis_y_std,116.68512705297834,0
env_kurtosis_y_max,10262.76958673134,0
env_kurtosis_y_min,0.07082087609416331,0
env_kurtosis_z_mean,2.2221298257245032,0
env_kurtosis_z_std,30.59594575720109,0
env_kurtosis_z_max,2439.8597503897195,0
env_kurtosis_z_min,0.09919439793597323,0
mag_mean,3.593897053538017e-09,0
mag_std,5.177541711949621e-09,0
mag_max,1.6865826013052277e-07,0
mag_min,1.0550274704718382e-10,0
