input,test_condition,validation_condition,n_training_conditions,mae
AE only,1,8,14,0.007743780706911981
AE only,2,5,14,0.0025231178733698136
AE only,3,14,14,0.010181328258506936
AE only,4,16,14,0.007944953517511132
AE only,5,12,14,0.00318221051473387
AE only,6,9,14,0.006633406446331818
AE only,7,14,14,0.20101472784483
AE only,8,5,14,0.12833675107889464
AE only,9,7,14,0.012808723170455791
AE only,10,11,14,0.012129040452950228
AE only,11,3,14,0.006116735126041571
AE only,12,7,14,0.015941363012275046
AE only,13,11,14,0.014636912390145942
AE only,14,11,14,0.011850003323582962
AE only,15,8,14,0.005144261297491282
AE only,16,5,14,0.005555722485752007
Vibration only,1,8,14,0.005740215814462696
Vibration only,2,5,14,0.004242899850347814
Vibration only,3,14,14,0.008933852947052855
Vibration only,4,16,14,0.007803512923671899
Vibration only,5,12,14,0.006941434069886429
Vibration only,6,9,14,0.005308109541479796
Vibration only,7,14,14,0.14000276072855117
Vibration only,8,5,14,0.08935778489404964
Vibration only,9,7,14,0.008966747680730774
Vibration only,10,11,14,0.009410011602076666
Vibration only,11,3,14,0.012604645109256293
Vibration only,12,7,14,0.008438963289491013
Vibration only,13,11,14,0.008513442801912003
Vibration only,14,11,14,0.012093471193949823
Vibration only,15,8,14,0.015076664594798232
Vibration only,16,5,14,0.004131056033085897
AE + vibration,1,8,14,0.005420325180779279
AE + vibration,2,5,14,0.0030747166575197196
AE + vibration,3,14,14,0.009652393304394751
AE + vibration,4,16,14,0.008169607553608184
AE + vibration,5,12,14,0.0033233874611621186
AE + vibration,6,9,14,0.00593945608857481
AE + vibration,7,14,14,0.147817065814029
AE + vibration,8,5,14,0.06981357902025634
AE + vibration,9,7,14,0.008927700101770164
AE + vibration,10,11,14,0.011190870714761481
AE + vibration,11,3,14,0.008219613716475487
AE + vibration,12,7,14,0.009642958580685274
AE + vibration,13,11,14,0.012346065255723165
AE + vibration,14,11,14,0.016817687995131735
AE + vibration,15,8,14,0.009781050070015328
AE + vibration,16,5,14,0.005233609084457665
