model,config,seed,fold,test_condition,mae,mse,r2
TrajectoryCNN,vib_trajectory,42,0,1,0.011273492127656937,0.0005380306392908096,-13.43231864607636
TrajectoryCNN,vib_trajectory,42,1,2,0.07748810946941376,0.009853729046881199,-521.8800234650162
TrajectoryCNN,vib_trajectory,42,2,3,0.010414528660476208,0.00016514494200237095,-0.6161225689685799
TrajectoryCNN,vib_trajectory,42,3,4,0.009718888439238071,0.00015480120782740414,-0.3565296714797743
TrajectoryCNN,vib_trajectory,42,4,5,0.005252826493233442,3.3952244848478585e-05,-0.1437280099454239
TrajectoryCNN,vib_trajectory,42,5,6,0.014423373155295849,0.0005785956745967269,-10.09656155931583
TrajectoryCNN,vib_trajectory,42,6,7,0.264130175113678,0.06989528238773346,-403.2031908167991
TrajectoryCNN,vib_trajectory,42,7,8,0.14396975934505463,0.02085256017744541,-172.86334236155335
TrajectoryCNN,vib_trajectory,42,8,9,0.04338443651795387,0.005453566554933786,-73.66435623510813
TrajectoryCNN,vib_trajectory,42,9,10,0.050373055040836334,0.004666488617658615,-76.31553878142185
TrajectoryCNN,vib_trajectory,42,10,11,0.010668570175766945,0.00028526800451800227,-9.511904498920691
TrajectoryCNN,vib_trajectory,42,11,12,0.007277903147041798,8.119051199173555e-05,-0.33506258832054425
TrajectoryCNN,vib_trajectory,42,12,13,0.008755387738347054,9.12346804398112e-05,-0.5928283114727657
TrajectoryCNN,vib_trajectory,42,13,14,0.03072010912001133,0.002112454501911998,-97.99219438621176
TrajectoryCNN,vib_trajectory,42,14,15,0.006355141289532185,5.7666613429319113e-05,-0.7377623592468352
TrajectoryCNN,vib_trajectory,42,15,16,0.007428259588778019,9.084074554266408e-05,-0.7427015679672362
