condition_id,y_true,y_pred,y_std,lower,upper,covered,abs_error,interval_width
1,0.1128,0.495568,0.25592336,-0.006041795,0.99717784,True,0.382768,1.0032196
1,0.1056,0.09905028,0.100900054,-0.09871383,0.29681438,True,0.006549716,0.3955282
1,0.1102,0.39803898,0.15166397,0.100777596,0.69530034,True,0.287839,0.5945227
1,0.1094,-0.6361668,0.17728393,-0.9836433,-0.2886903,False,0.7455668,0.69495296
1,0.101,0.2182195,0.10354813,0.015265167,0.42117384,True,0.1172195,0.40590867
1,0.1084,0.053601023,0.118315436,-0.17829724,0.28549927,True,0.05479898,0.4637965
1,0.1056,-0.4135886,0.11929192,-0.6474008,-0.17977645,False,0.51918864,0.46762437
1,0.1032,0.2453708,0.11997343,0.010222882,0.48051873,True,0.1421708,0.47029585
1,0.1074,0.024094777,0.0829882,-0.1385621,0.18675165,True,0.083305225,0.32531375
1,0.1098,-0.21497296,0.08074926,-0.3732415,-0.056704402,False,0.32477295,0.3165371
1,0.1026,0.63726306,0.22801782,0.19034812,1.084178,False,0.5346631,0.8938298
1,0.1056,0.11152778,0.1018495,-0.08809724,0.3111528,True,0.005927779,0.39925003
1,0.0974,-0.29987973,0.096294366,-0.4886167,-0.11114277,False,0.39727974,0.37747395
1,0.0962,0.3568238,0.14681715,0.06906217,0.64458543,True,0.2606238,0.57552326
1,0.092,-0.4435389,0.12313222,-0.68487805,-0.20219974,False,0.5355389,0.4826783
1,0.095,-0.4265511,0.10834837,-0.6389139,-0.2141883,False,0.52155113,0.42472565
1,0.0946,0.9600021,0.33932188,0.29493123,1.625073,False,0.8654021,1.3301418
1,0.101,0.27975556,0.14694972,-0.0082659125,0.56777704,True,0.17875555,0.57604295
1,0.095,-0.44500962,0.1334102,-0.7064936,-0.18352562,False,0.5400096,0.522968
