condition_id,n,coverage,mean_width,mae
1,19,0.8947368421052632,0.024776047,0.007828493
2,20,0.85,0.030632922,0.00786373
3,20,0.3,0.031706102,0.02207977
4,20,0.95,0.04720239,0.009447226
5,20,1.0,0.058021717,0.008686652
6,20,0.75,0.09189005,0.038662113
7,20,0.0,0.012739718,0.25216234
8,20,0.5,0.11849006,0.0651001
9,20,0.0,0.022676364,0.020421492
10,20,0.1,0.029733768,0.029368605
11,20,0.25,0.03027811,0.019147433
12,20,0.0,0.040028512,0.0477514
13,20,1.0,0.046667594,0.00732065
14,20,0.95,0.01854023,0.0034868363
15,20,0.85,0.026854416,0.0071638287
16,20,0.7,0.038812052,0.01386095
